metric,threshold,H0,Ha,normality_test_p_value_col,is_normal,t_stat,p_value_ttest,wilcoxon_stat,p_value_wilcoxon,decision
annualized_return,1.280000000000001,ai_algo<=1.280000000000001,ai_algo>1.280000000000001,1.2863758559353265e-06,no,,,241.0,0.04966747760772705,Reject H0
annualized_return,3.089999999999978,standard_algo<=3.089999999999978,standard_algo>3.089999999999978,0.06482321662741716,yes,1.7272394321509819,0.04823092105713193,,,Reject H0
annualized_volatility,0.1440000000000001,ai_algo<=0.1440000000000001,ai_algo>0.1440000000000001,0.2808184676961993,yes,1.7414383769288522,0.04695036732160331,,,Reject H0
annualized_volatility,0.1220000000000001,standard_algo<=0.1220000000000001,standard_algo>0.1220000000000001,0.0026275419988238567,no,,,242.0,0.047036513686180115,Reject H0
avg_trade_duration,124.24000000002665,ai_algo<=124.24000000002665,ai_algo>124.24000000002665,1.2777566718754282e-06,no,,,241.0,0.04966747760772705,Reject H0
avg_trade_duration,218.84999999994594,standard_algo<=218.84999999994594,standard_algo>218.84999999994594,0.04568884738210283,no,,,241.0,0.04966747760772705,Reject H0
fees,5.889999999999919,ai_algo<=5.889999999999919,ai_algo>5.889999999999919,0.33828680541472306,yes,1.7169357198244848,0.04917862938137209,,,Reject H0
fees,2.9899999999999802,standard_algo<=2.9899999999999802,standard_algo>2.9899999999999802,0.0029749692513460282,no,,,242.0,0.047036513686180115,Reject H0
max_drawdown,4.399999999999997e-05,ai_algo<=4.399999999999997e-05,ai_algo>4.399999999999997e-05,7.131545323723308e-05,no,,,242.0,0.047036513686180115,Reject H0
max_drawdown,0.0,standard_algo<=0.0,standard_algo>0.0,6.832292611596165e-11,no,,,1.0,0.15865525393145707,Fail to reject H0
net_pnl,17.59999999999995,ai_algo<=17.59999999999995,ai_algo>17.59999999999995,0.9216630665623418,yes,1.7100285735712382,0.04982272368548227,,,Reject H0
net_pnl,22.790000000000763,standard_algo<=22.790000000000763,standard_algo>22.790000000000763,0.03088724620837891,no,,,241.0,0.04966747760772705,Reject H0
num_trades,7.449999999999886,ai_algo<=7.449999999999886,ai_algo>7.449999999999886,0.3536865359871861,yes,1.7152514191916624,0.049335037478317204,,,Reject H0
num_trades,3.4999999999999694,standard_algo<=3.4999999999999694,standard_algo>3.4999999999999694,0.0003580704742707436,no,,,270.0,0.0075660645961761475,Reject H0
sharpe_ratio,7.999999999999874,ai_algo<=7.999999999999874,ai_algo>7.999999999999874,2.6124809132931467e-08,no,,,241.0,0.04966747760772705,Reject H0
sharpe_ratio,21.320000000000533,standard_algo<=21.320000000000533,standard_algo>21.320000000000533,0.008377041535236938,no,,,241.0,0.04966747760772705,Reject H0
win_ratio,0.7300000000000004,ai_algo<=0.7300000000000004,ai_algo>0.7300000000000004,0.02638009775980766,no,,,244.0,0.04209865629673004,Reject H0
win_ratio,0.8700000000000006,standard_algo<=0.8700000000000006,standard_algo>0.8700000000000006,1.0253143576575172e-06,no,,,243.0,0.04451450705528259,Reject H0
