symbol,monetary_volume_average,rank
BTCUSDT,3087738.7180266697,1.0
ETHUSDT,437444.0472774619,2.0
SOLUSDT,119946.97315828984,3.0
XRPUSDT,100256.32049559987,4.0
GALAUSDT,82885.31644936191,5.0
DOGEUSDT,70266.01851979262,6.0
APTUSDT,63536.919616338135,7.0
BNBUSDT,58567.09548368122,8.0
SHIBUSDT,53277.00104572576,9.0
LTCUSDT,48905.16454393513,10.0
MATICUSDT,46387.96068672225,11.0
ADAUSDT,35694.63143222762,12.0
LDOUSDT,28689.749060257367,13.0
NEARUSDT,28062.210035173932,14.0
SANDUSDT,27694.8166684736,15.0
APEUSDT,24234.002977411026,16.0
FILUSDT,24024.305452971243,17.0
LINKUSDT,21224.813398211983,18.0
DOTUSDT,21174.598058217114,19.0
TRXUSDT,20977.738171522975,20.0
LUNCUSDT,19202.31024822741,21.0
ATOMUSDT,18642.824491889744,22.0
EURUSDT,16023.090809934158,23.0
JASMYUSDT,12640.241124959883,24.0
